name,house,Dívida,Capacidade de pagamento anual,Dívida_sum,Dívida_porcentagem,Dívida_abc_class,Capacidade de pagamento anual_sum,Capacidade de pagamento anual_porcentagem,Capacidade de pagamento anual_abc_class
Victaria Tyrell,House Tyrell,24501.0,78269.0,86029925.0,94.25275598344471,C,7984916.0,8.384494161348556,A
Larys Strong,House Strong,87088.0,78216.0,22170564.0,24.289649894584286,A,8063132.0,8.466624216983961,A
Godry Farring,House Farring,80015.0,78209.0,33683803.0,36.90333642338318,A,8141341.0,8.548746922328002,A
Melara Crane,House Crane,78266.0,78163.0,35743254.0,39.15963192245355,A,8219504.0,8.630821325757353,A
Aegon II Targaryen,,43871.0,78156.0,74790020.0,81.93852900670261,C,8297660.0,8.71288837889534,A
Kezmya,House of Pahl,37728.0,78146.0,79216745.0,86.78836505190216,C,8375806.0,8.79494493161709,A
Arthur Dayne,House Dayne,20657.0,78105.0,87482328.0,95.84398119430737,C,8453911.0,8.87695843263227,A
Donnel Haigh,House Haigh,86316.0,78065.0,23384511.0,25.619627229422537,A,8531976.0,8.958929931982503,A
Eglantine,Faith of the Seven,40579.0,78049.0,77262909.0,84.6477793459438,C,8610025.0,9.04088463066676,A
Sloey,,76325.0,78046.0,39683804.0,43.47682384829288,A,8688071.0,9.122836179226145,A
Ryk,,93022.0,78043.0,12093696.0,13.249624221176079,A,8766114.0,9.204784577660659,A
Willam Wells,House Wells,46902.0,77938.0,71701359.0,78.55465053013086,B,8844052.0,9.28662272172469,A
Veiled Lady,,55536.0,77881.0,63965666.0,70.07957183290031,B,8921933.0,9.368401013416172,A
Beren Tallhart,House Tallhart,77524.0,77872.0,37299742.0,40.864890687414224,A,8999805.0,9.45016985473304,A
Jacks,House Stark,55095.0,77852.0,64297712.0,70.44335513985169,B,9077657.0,9.53191769521744,A
Donnel Drumm,House Drumm,68411.0,77692.0,49780604.0,54.538686643287114,B,9155349.0,9.613497529042052,A
Janna Tyrell,House Tyrell,37933.0,77661.0,79065523.0,86.62268909361987,C,9233010.0,9.69504481157633,A
Eden Risley,House Risley,83422.0,77646.0,28300257.0,31.005225417664533,A,9310656.0,9.776576343486255,A
Gwayne Corbray,House Corbray,97804.0,77501.0,4847202.0,5.310502680415741,A,9388157.0,9.857955619360752,A
Aegor Rivers,House Bracken,7640.0,77485.0,90734878.0,99.40741335438368,C,9465642.0,9.939318094569268,A
Barristan Selmy,House Selmy,19140.0,77473.0,88017038.0,96.42979934016658,C,9543115.0,10.020667969278302,A
Ryella Royce,House Royce,40761.0,77414.0,77059634.0,84.42507510701142,C,9620529.0,10.10195589153154,A
Kyle (brotherhood),Brotherhood without banners,99021.0,77403.0,1991982.0,2.182377740878121,A,9697932.0,10.183232263326918,A
Myles (squire),House Tully,14120.0,77356.0,89478506.0,98.0309559932918,C,9775288.0,10.264459283165985,A
Armen,,77998.0,77316.0,36055601.0,39.50183337820468,A,9852604.0,10.345644301340105,A
Meha,,30141.0,77295.0,83361145.0,91.32889117578044,C,9929899.0,10.426807268640129,A
Danelle Lothston,House Lothston,517.0,77241.0,91275261.0,99.99944673156728,C,10007140.0,10.507913533692475,A
Farlen,House Stark,73713.0,77235.0,43593017.0,47.75968355061518,A,10084375.0,10.58901349849508,A
Harmond Umber,House Umber,57979.0,77215.0,61644223.0,67.53624286209771,B,10161590.0,10.670092462465213,A
Gillam,,24796.0,77202.0,85907101.0,94.11819233595914,C,10238792.0,10.751157775894237,A
Kyleg,,68898.0,77199.0,49231395.0,53.936983667713065,B,10315991.0,10.83221993919839,A
Godwyn,House Lannister,9541.0,77162.0,90444519.0,99.08930153486743,C,10393153.0,10.913243250962468,A
Brusco,,82098.0,77045.0,30200912.0,33.08754702754288,A,10470198.0,10.99414370785658,A
Cetheres,,52810.0,77043.0,66461435.0,72.81388906667735,B,10547241.0,11.075042064667445,A
Daryn Hornwood,House Hornwood,39129.0,77033.0,78219318.0,85.69560292706828,C,10624274.0,11.15592992106207,A
Tobbot,House Clegane,54634.0,77026.0,64736611.0,70.92420456926104,B,10701300.0,11.236810427165334,A
Daella Targaryen (daughter of Maekar I),House Targaryen,27076.0,77015.0,85024942.0,93.1517156481601,C,10778315.0,11.317679382810734,A
Murch (Winterfell),House Stark,55694.0,77012.0,63743237.0,69.83588283444261,B,10855327.0,11.398545188331266,A
Willow Witch-eye,,65785.0,77011.0,52800598.0,57.84733485556287,B,10932338.0,11.479409943810174,A
Tyta Frey,House Frey,65154.0,77000.0,53586199.0,58.70802442786401,B,11009338.0,11.56026314883122,A
Brenett,House Frey,31393.0,76998.0,82901638.0,90.82546401199197,C,11086336.0,11.64111425376902,A
Arwyn Frey,House Frey,19165.0,76970.0,87997898.0,96.40882991877604,C,11163306.0,11.721935957541357,A
Plummer,House Ashford,95000.0,76949.0,9651487.0,10.573986308698851,A,11240255.0,11.802735610439598,A
Rodrik Stark,House Stark,76602.0,76901.0,39301664.0,43.058158503977936,A,11317156.0,11.883484861339904,A
Emmon Frey,House Frey of Riverrun,6236.0,76790.0,90916067.0,99.6059205901378,C,11393946.0,11.964117557619984,A
Courtenay Greenhill,House Greenhill,95327.0,76774.0,8509902.0,9.32328741015441,A,11470720.0,12.044733453234086,A
Waltyr Frey,House Frey,82274.0,76730.0,29707977.0,32.54749678025162,A,11547450.0,12.125303147016748,A
Elwood Meadows,House Meadows,60187.0,76695.0,59343956.0,65.0161139157134,B,11624145.0,12.205836089342581,A
Ygritte,Mance Rayder,64593.0,76666.0,53975322.0,59.134340214685245,B,11700811.0,12.28633858046133,A
Margaery Tyrell,House Tyrell,50834.0,76650.0,68329369.0,74.86036216885871,B,11777461.0,12.3668242709141,A
Jasper Wylde,House Wylde,75387.0,76603.0,41277854.0,45.22323482883726,A,11854064.0,12.447260609410558,A
Josmyn Peckledon,House Peckledon,70762.0,76597.0,47141337.0,51.647155719295746,B,11930661.0,12.527690647657272,A
Melwys Rivers,,62529.0,76535.0,56584302.0,61.992689275267225,B,12007196.0,12.608055583323324,A
Manfred Lothston,House Lothston,12416.0,76499.0,89880615.0,98.4714989956918,C,12083695.0,12.68838271749092,A
Shiera Crakehall,House Crakehall,96480.0,76473.0,6595335.0,7.225724076640453,A,12160168.0,12.768682550576305,A
Tregar,House Lannister,27899.0,76469.0,84667991.0,92.76064689503673,C,12236637.0,12.848978183495193,A
Cleos Frey,House Frey,36238.0,76469.0,80252262.0,87.92285785911673,C,12313106.0,12.929273816414083,A
Shireen Baratheon,House Baratheon of Dragonstone,505.0,76446.0,91275766.0,100.0,C,12389552.0,13.009545298375627,A
Melly,Brotherhood Without Banners,77397.0,76416.0,37454604.0,41.03455456073631,A,12465968.0,13.089785279088465,A
Maynard,,49433.0,76365.0,69485083.0,76.12654053212766,B,12542333.0,13.169971707678494,A
Martyn Mullendore,House Mullendore,35486.0,76347.0,80753784.0,88.47231586092633,C,12618680.0,13.250139235519296,A
Baela Targaryen,House Targaryen,52439.0,76241.0,66881730.0,73.27435630614154,B,12694921.0,13.330195458947994,A
Robin Ryger,House Ryger,55281.0,76238.0,64187492.0,70.32260019598192,B,12771159.0,13.410248532251817,A
Gorold Goodbrother,House Goodbrother,81407.0,76208.0,31017265.0,33.98192790844396,A,12847367.0,13.490270104306934,A
Dornish Dilly,Night's Watch,65708.0,76195.0,52997842.0,58.063431645153216,B,12923562.0,13.570278025820945,A
Joffrey Lonmouth,House Lonmouth,79628.0,76116.0,34242929.0,37.51590427627855,A,12999678.0,13.650202994046683,A
Brynden Rivers,House Targaryen,36111.0,76108.0,80324489.0,88.00198839196813,C,13075786.0,13.730119561939436,A
Osha,House Stark,99350.0,76048.0,1595207.0,1.7476785678248925,A,13151834.0,13.809973127334768,A
Willem Frey,House Frey,55948.0,76002.0,63464273.0,69.5302551610468,B,13227836.0,13.889778390815414,A
Murenmure,,49317.0,75996.0,69633227.0,76.28884429192301,B,13303832.0,13.969577354046315,A
Donel Greyjoy,House Greyjoy,76781.0,75994.0,38918337.0,42.63819270495084,A,13379826.0,14.04937421719397,A
Duram Bar Emmon,House Bar Emmon,91731.0,75993.0,14402009.0,15.77856821272801,A,13455819.0,14.129170030300001,A
Melissa Blackwood,House Blackwood,41621.0,75982.0,75988742.0,83.2518261199802,C,13531801.0,14.208954292948173,A
Walda Frey (daughter of Edwyn),House Frey,37857.0,75970.0,79141283.0,86.7056903143382,C,13607771.0,14.28872595509686,A
Rainbow Knight,,80962.0,75954.0,32153968.0,35.22727818027843,A,13683725.0,14.368480816579568,A
Joy Hill,House Lannister,88715.0,75870.0,19445409.0,21.30402170495069,A,13759595.0,14.448147474565893,A
Robin,,77032.0,75805.0,38225995.0,41.8796759262475,A,13835400.0,14.527745879846677,A
Harlan Hunter,House Hunter,8375.0,75803.0,90614239.0,99.27524355150304,C,13911203.0,14.607342185044214,A
Grazdan zo Galare,House of Galare,63348.0,75793.0,55829991.0,61.166280434173515,B,13986996.0,14.686927989825517,A
Three Toes,Brave Companions,12325.0,75793.0,89917677.0,98.51210342074806,C,14062789.0,14.766513794606817,A
Clarence Charlton,House Charlton,13741.0,75726.0,89631796.0,98.1988976131956,C,14138515.0,14.846029246599334,A
Quent,House Stark,64440.0,75725.0,54427011.0,59.6292021257866,B,14214240.0,14.92554364855023,A
Orwyle,,6151.0,75720.0,90934614.0,99.6262403319628,C,14289960.0,15.005052800293003,A
Shagga,Stone Crows,18267.0,75692.0,88391897.0,96.8404877588209,C,14365652.0,15.084532550870316,A
Leyla Hightower,House Hightower,97264.0,75680.0,5627547.0,6.165433878692402,A,14441332.0,15.163999700948144,A
Bloodbeard,Company of the Cat,90487.0,75617.0,16225161.0,17.77597900410937,A,14516949.0,15.243400698403683,A
Olyvar Frey,House Frey,31857.0,75520.0,82617085.0,90.51371313608038,C,14592469.0,15.32269984182173,A
Galladon of Morne,,15179.0,75512.0,89317308.0,97.85435051840595,C,14667981.0,15.401990584906786,A
Ezzelyno,R'hllor,4713.0,75497.0,91113706.0,99.82245013424483,C,14743478.0,15.481265577367488,A
Alannys Harlaw,House Greyjoy,30341.0,75478.0,83210041.0,91.16334449606262,C,14818956.0,15.560520619037337,A
Sefton Staunton,House Staunton,36297.0,75445.0,80179779.0,87.84344685751529,C,14894401.0,15.63974100933361,A
Reynard Webber,House Webber,34903.0,75427.0,81315427.0,89.08764129133685,C,14969828.0,15.718942498880656,A
Peter Plumm,House Plumm,85776.0,75405.0,23986192.0,26.278817534108672,A,15045233.0,15.798120887511983,A
Orbert Caswell,House Caswell,98812.0,75392.0,2486464.0,2.724122852061302,A,15120625.0,15.8772856256022,A
Gran Goodbrother,House Goodbrother,14065.0,75320.0,89506687.0,98.0618305629996,C,15195945.0,15.956374760695514,A
Viserys Plumm,House Plumm,45395.0,75305.0,73544190.0,80.57362126109136,C,15271250.0,16.035448145164473,A
Rolfe,,62558.0,75297.0,56521773.0,61.92418368748612,B,15346547.0,16.114513129300445,A
Gueren,Night's Watch,47336.0,75297.0,71324568.0,78.14184544887851,B,15421844.0,16.193578113436416,A
Ormond Yronwood,House Yronwood,19313.0,75247.0,87940247.0,96.34566857538067,C,15497091.0,16.272590595491206,A
Kirth Vance,House Vance of Atranta,50632.0,75213.0,68532200.0,75.08257996980272,B,15572304.0,16.35156737613079,A
Lyonel Selmy,House Selmy,47799.0,75199.0,70944028.0,77.72493303425139,B,15647503.0,16.430529456187642,A
Quincy Cox,House Cox,95037.0,75181.0,9461476.0,10.365813856878505,A,15722684.0,16.50947263549527,A
Cadwyn,House Lannister,30241.0,75175.0,83300858.0,91.2628418807244,C,15797859.0,16.588409514553156,A
Azor Ahai,,71644.0,75122.0,46357297.0,50.78817634902128,B,15872981.0,16.66729074140499,A
Timon,,47464.0,75084.0,71277232.0,78.08998502406432,B,15948065.0,16.746132066675123,A
Sedgekins,,91823.0,74999.0,14126690.0,15.47693393227727,A,16023064.0,16.82488413840725,A
Brandon Stark (the daughterless),House Stark,66715.0,74963.0,51673992.0,56.6130466656396,B,16098027.0,16.903598408640917,A
Wallace Waynwood,House Waynwood,41416.0,74959.0,76237750.0,83.52463456729578,C,16172986.0,16.9823084787081,A
Daeron I Targaryen,,75708.0,74923.0,40824492.0,44.72654001063108,A,16247909.0,17.060980747276822,A
Tommard Heddle,House Heddle,63474.0,74910.0,55386150.0,60.680016643190925,B,16322819.0,17.13963936530444,A
Addison Hill,House Swyft,10822.0,74907.0,90228672.0,98.852823650913,C,16397726.0,17.21829483320719,A
Lewyn Martell,House Martell,82429.0,74896.0,29460893.0,32.276796230885644,A,16472622.0,17.296938750652078,A
Melisandre,R'hllor,92184.0,74831.0,13758844.0,15.0739288235609,A,16547453.0,17.37551441539143,A
Tysha,,29209.0,74831.0,83983044.0,92.0102319382343,C,16622284.0,17.454090080130776,A
Larraq,,41216.0,74696.0,76485748.0,83.79633647774591,C,16696980.0,17.532523989250933,A
Lymond Mallister,House Mallister,81598.0,74681.0,30691451.0,33.62497226262665,A,16771661.0,17.610942147746737,A
Tregar Ormollen,,97472.0,74606.0,5335640.0,5.845626099703178,A,16846267.0,17.689281553120768,A
Will (squire),,58687.0,74556.0,60771057.0,66.57961873472527,B,16920823.0,17.767568456413613,A
Dorcas,House Lannister,38348.0,74538.0,78722422.0,86.24679413810671,C,16995361.0,17.845836458957233,A
Ermesande Hayford,House Hayford,86400.0,74520.0,23298195.0,25.525061055088816,A,17069881.0,17.924085560751628,A
Albett,Night's Watch,57144.0,74495.0,62276836.0,68.22932167997364,B,17144376.0,18.00230841150543,A
Hizdahr zo Loraq,,20603.0,74447.0,87523586.0,95.88918267746995,C,17218823.0,18.0804808602613,A
Thistle,,47561.0,74410.0,71182285.0,77.98596288964586,B,17293233.0,18.158614457477093,A
Bayard Norcross,House Norcross,42489.0,74276.0,75568272.0,82.7911671538314,C,17367509.0,18.236607349115317,A
Regenard Estren,House Estren,59086.0,74255.0,60418158.0,66.19298927603631,B,17441764.0,18.314578189879445,A
Edric Storm,House Baratheon,17257.0,74243.0,88745592.0,97.22798930002953,C,17516007.0,18.39253643014409,A
Conwy,Night's Watch,56645.0,74198.0,62788415.0,68.78979794045223,B,17590205.0,18.47044741853567,A
Symon Santagar,House Santagar,4281.0,74165.0,91131654.0,99.84211362301797,C,17664370.0,18.54832375555367,A
Barra,House Baratheon,21514.0,74165.0,87123349.0,95.45069060280468,C,17738535.0,18.626200092571672,A
Gretchel,House Arryn,48969.0,74106.0,69927566.0,76.61131652403772,B,17812641.0,18.704014477133875,A
Dorren Stark,,55502.0,74100.0,64132211.0,70.26203537968665,B,17886741.0,18.781822561446333,A
Mord,House Arryn,63467.0,74096.0,55449617.0,60.74954988600151,B,17960837.0,18.859626445592305,A
Wyl Waynwood,House Waynwood,8067.0,73953.0,90680154.0,99.34745877673599,C,18034790.0,18.93728017378609,A
Harwyn Hoare,,17482.0,73931.0,88658841.0,97.13294654793694,C,18108721.0,19.014910801064154,A
Terrence Toyne,House Toyne,83833.0,73852.0,27296785.0,29.905840505353854,A,18182573.0,19.09245847505395,A
Tal Toraq,House Targaryen,87455.0,73836.0,21647189.0,23.716250159982224,A,18256409.0,19.16998934837777,A
Dolf,Stone Crows,98733.0,73815.0,3079089.0,3.373391574714366,A,18330224.0,19.24749817082749,A
Grey Worm,Unsullied,44224.0,73795.0,74438020.0,81.55288447538199,C,18404019.0,19.32498599244474,A
Walder Frey,House Frey,64387.0,73788.0,54555827.0,59.77033049495306,B,18477807.0,19.402466463770622,A
Weasel,,60177.0,73775.0,59404133.0,65.0820426968534,B,18551582.0,19.4799332845554,A
Murmison,Faith of the Seven,5511.0,73737.0,91038304.0,99.73984113154415,C,18625319.0,19.557360203758478,A
Robin Potter,House Potter,62418.0,73729.0,56646720.0,62.06107325355122,B,18699048.0,19.634778722628564,A
Lambert Turnberry,House Turnberry,73105.0,73705.0,44401360.0,48.64528882726659,A,18772753.0,19.712172040499684,A
Will Humble,House Humble,16187.0,73623.0,89097576.0,97.61361630205327,C,18846376.0,19.78947925495767,A
Sigrin,House Greyjoy,95452.0,73518.0,8128329.0,8.90524326029759,A,18919894.0,19.866676215045164,A
Alyn,House Stark,27836.0,73498.0,84723677.0,92.82165542165924,C,18993392.0,19.94385217430019,A
Daeryssa,,15891.0,73476.0,89193336.0,97.71852914386936,C,19066868.0,20.021005032639493,A
Tyana Wylde,House Wylde,33631.0,73451.0,81829933.0,89.65132431756311,C,19140319.0,20.098131639938206,A
Jaime Frey,House Frey,34980.0,73365.0,81175746.0,88.93460943400903,C,19213684.0,20.17516794365729,A
Melaquin,,77061.0,73312.0,37994872.0,41.626461946098594,A,19286996.0,20.252148595170315,A
Garth Tyrell,House Tyrell,97348.0,73265.0,5432988.0,5.952278724234426,A,19360261.0,20.329079894727027,A
Yoren,Night's Watch,30302.0,73194.0,83240343.0,91.19654279318785,C,19433455.0,20.405936641328463,A
Ossifer Plumm,House Plumm,62172.0,73174.0,57206954.0,62.674855010255406,B,19506629.0,20.482772387097427,A
Jyzene,,92351.0,73171.0,13297528.0,14.568519753644138,A,19579800.0,20.559604982741515,A
Lynesse Hightower,House Hightower,89207.0,73141.0,18288728.0,20.036783914801656,A,19652941.0,20.636406077136897,A
Delp,House Tully,31465.0,73127.0,82870245.0,90.79107043593586,C,19726068.0,20.713192470949547,A
Nestor Royce,House Royce of the Gates of the Moon,39370.0,73124.0,78140934.0,85.60972690166194,C,19799192.0,20.78997571463733,A
Orton Merryweather,House Merryweather,2660.0,73108.0,91212224.0,99.9303845886103,C,19872300.0,20.86674215765913,A
Tothmure,,47613.0,73107.0,71134724.0,77.93385595909433,B,19945407.0,20.943507550639307,A
Ryger Rivers,House Frey,58349.0,73088.0,61063305.0,66.89980010685422,B,20018495.0,21.020252992828638,A
Erreck,,44061.0,73055.0,74570280.0,81.6977860257015,C,20091550.0,21.096963783644384,A
Ternesio Terys,,90850.0,73041.0,15771447.0,17.278898541371866,A,20164591.0,21.1736598738774,A
Hosteen Frey,House Frey,65447.0,73035.0,53194403.0,58.27878015288308,B,20237626.0,21.250349663860675,A
Guthor Grimm,House Grimm,64560.0,73007.0,54104468.0,59.275830125599825,B,20310633.0,21.32701005267849,A
Reysen,,29133.0,73002.0,84041375.0,92.07413827674698,C,20383635.0,21.403665191288184,A
Garrison Prester,House Prester,24551.0,72991.0,85980893.0,94.19903745316145,C,20456626.0,21.480308779440016,A
Clayton Suggs,House Suggs,13721.0,72990.0,89645517.0,98.21393008084972,C,20529616.0,21.556951317550226,A
Rhogoro,,50983.0,72956.0,68125759.0,74.63729091027295,B,20602572.0,21.633558154245232,A
Cassella Vaith,House Vaith,77326.0,72943.0,37531930.0,41.11927146138659,A,20675515.0,21.710151340399133,A
Deana Hardyng,House Hardyng,1313.0,72939.0,91263882.0,99.9869801147437,C,20748454.0,21.78674032638654,A
Harrag Hoare,,40217.0,72832.0,77505403.0,84.91345117826783,C,20821286.0,21.863216957920212,A
Grenn,Night's Watch,66313.0,72819.0,52272271.0,57.268509803577,B,20894105.0,21.93967993891278,A
Talea,,59640.0,72791.0,59943626.0,65.67310100689815,B,20966896.0,22.016113518739882,A
Haggon,,98295.0,72788.0,3867121.0,4.236744504559951,A,21039684.0,22.092543948442117,A
Halmon Paege,House Paege,72447.0,72672.0,45420173.0,49.76148104854031,A,21112356.0,22.168852573316006,A
Romny Weaver,House Weaver,10182.0,72625.0,90375864.0,99.01408441754408,C,21184981.0,22.245111846233584,A
Alyn Hunt,House Hunt,57712.0,72621.0,61759880.0,67.6629544801629,B,21257602.0,22.32136691898467,A
Willam Dustin,House Dustin,30941.0,72619.0,83025878.0,90.96157900225127,C,21330221.0,22.397619891652504,A
Gerardys,Blacks,25611.0,72577.0,85656742.0,93.84390375863842,C,21402798.0,22.473828762572147,A
Norbert Vance,House Vance of Atranta,43673.0,72573.0,75052537.0,82.22613765848867,C,21475371.0,22.550033433325297,A
Lum,House Lannister,14866.0,72454.0,89392240.0,97.93644459801082,C,21547825.0,22.62611314912523,A
Brandon Stark (son of Cregan),House Stark,12660.0,72449.0,89830334.0,98.41641208467098,C,21620274.0,22.702187614717047,A
Tristan Mudd,House Mudd,15954.0,72410.0,89145590.0,97.66621953082267,C,21692684.0,22.77822112868554,A
Orys Baratheon,House Baratheon,69826.0,72381.0,48123320.0,52.72299769031793,B,21765065.0,22.85422419144695,A
Xhondo,,6768.0,72372.0,90871216.0,99.55678268424502,C,21837437.0,22.930217803833745,A
Dagmer,House Greyjoy,48541.0,72362.0,70366502.0,77.09220648994608,B,21909799.0,23.006200915804303,A
